building_id,building_city,building_tags,building_name,tweet_language_distribution,tweets,tweets_concatenated,mapped_class
31061,CapeTown,dormitory,Kopano,"['English', 'English', 'English', 'English', 'English']","[""Midterm exams are looming and I'm stuck here hitting the books all day, send help...or coffee!"", ""Roomies for life, we've survived another semester together at Kopano!"", 'Early morning study sessions on the rooftop have become my new normal', 'Nothing like a game night to unwind after a long week of classes ', 'People say university is the best time of your life, so far so good.']","Midterm exams are looming and I'm stuck here hitting the books all day, send help...or coffee! Roomies for life, we've survived another semester together at Kopano! Early morning study sessions on the rooftop have become my new normal Nothing like a game night to unwind after a long week of classes  People say university is the best time of your life, so far so good.",residential
31073,CapeTown,dormitory,Baxter Hall,"['English', 'English', 'English', 'English', 'English']","['Cramming for exams is way more bearable when you have an amazing view like ours at BaxterHall!', 'Dorm life can be crazy but our community here makes all the difference', 'Battling to get work done before deadline hits - anyone else feeling the pressure? Hope caffeine kicks in soon', 'Sharing laughs over breakfast on the rooftop has become daily highlight always something new ', 'Wonderful place full great people making every day count']",Cramming for exams is way more bearable when you have an amazing view like ours at BaxterHall! Dorm life can be crazy but our community here makes all the difference Battling to get work done before deadline hits - anyone else feeling the pressure? Hope caffeine kicks in soon Sharing laughs over breakfast on the rooftop has become daily highlight always something new  Wonderful place full great people making every day count,residential
31079,CapeTown,dormitory,Graça Machel Hall,"['English', 'English', 'English', 'English', 'Polish']","[""Morning views from Graça Mached don't get much better than this!"", 'Cape Town sunsets are even more breathtaking when watched with friends from our dorm lounge', 'Dorm life can be chaotic but having amazing people around makes all the difference ', 'The university campus is so peaceful at dawn, perfect time to catch up on some reading before classes', 'Wszystko jest piękne w południowej Afryce - nawet życie w akademiku ma swój urok!']","Morning views from Graça Mached don't get much better than this! Cape Town sunsets are even more breathtaking when watched with friends from our dorm lounge Dorm life can be chaotic but having amazing people around makes all the difference  The university campus is so peaceful at dawn, perfect time to catch up on some reading before classes Wszystko jest piękne w południowej Afryce - nawet życie w akademiku ma swój urok!",residential
57201,Berlin,apartments,Doubletree By Hilton Berlin Ku'Damm,['German'],"['Eine Woche im Doubletree und ich fühle mich wie zu Hause, dank des tollen Service!']","Eine Woche im Doubletree und ich fühle mich wie zu Hause, dank des tollen Service!",residential
212341,Berlin,apartments,Spätkauf Troja,"['English', 'English', 'English', 'English', 'English']","['Beautiful Berlin sunset views from our rooftop are the perfect way to unwind after work!', 'This apartment complex has everything I need - gym, parking, and an amazing community of neighbors#', 'Tried out the new coffee shop down the street today and oh man, their cappuccinos do NOT disappoint ', 'People often overlook the importance of having green spaces nearby; thankfully ours is just around the corner', 'Lovely Wednesday evening vibes here at home catching up on some reading before calling it a night']","Beautiful Berlin sunset views from our rooftop are the perfect way to unwind after work! This apartment complex has everything I need - gym, parking, and an amazing community of neighbors# Tried out the new coffee shop down the street today and oh man, their cappuccinos do NOT disappoint  People often overlook the importance of having green spaces nearby; thankfully ours is just around the corner Lovely Wednesday evening vibes here at home catching up on some reading before calling it a night",residential
349557,Sydney,house,Dalgetty Square,"['English', 'English', 'English', 'Japanese', 'Japanese']","['Quiet mornings are made perfect with a cuppa on our backyard patio', 'The auction at Dalgetty Square was pure chaos today!', 'Sitting here watching the sunset over Sydney is something else ', ""'(Kyō wa otoko tomodachi ga DLGetti Sukwea ni kimashita.)'"", '(Watashi no kazoku mo kondoDL Geti sukueaa e ikimasu)']",Quiet mornings are made perfect with a cuppa on our backyard patio The auction at Dalgetty Square was pure chaos today! Sitting here watching the sunset over Sydney is something else  '(Kyō wa otoko tomodachi ga DLGetti Sukwea ni kimashita.)' (Watashi no kazoku mo kondoDL Geti sukueaa e ikimasu),residential
563123,Berlin,apartments,Aral Superwash,"['German', 'German', 'German', 'English', 'English']","['Das Architekturbüro hat ganze Arbeit geleistet, toller Ausblick vom Dach aus!', 'Ich wohne jetzt seit einem Monat hier und bin total begeistert von den großen Fenstern und hellen Räumen.', 'In diesem Gebäude trifft sich Stil mit Funktionalität auf großem Niveau', 'Lovely balcony views every morning make waking up here pure bliss ', 'On Sundays I take advantage of being so close to all Berlin has to offer, cultural experiences galore']","Das Architekturbüro hat ganze Arbeit geleistet, toller Ausblick vom Dach aus! Ich wohne jetzt seit einem Monat hier und bin total begeistert von den großen Fenstern und hellen Räumen. In diesem Gebäude trifft sich Stil mit Funktionalität auf großem Niveau Lovely balcony views every morning make waking up here pure bliss  On Sundays I take advantage of being so close to all Berlin has to offer, cultural experiences galore",residential
1083557,Cologne,dormitory,Campo,['Spanish'],"['Estoy disfrutando de la vida en el Campo, aquí se respira un ambiente universitario increíble y mis compañeros son muy divertidos.']","Estoy disfrutando de la vida en el Campo, aquí se respira un ambiente universitario increíble y mis compañeros son muy divertidos.",residential
1838757,Rome,apartments,Albergo Bianco,['Italian'],['La vista dalla finestra del mio appartamento è semplicemente mozzafiato! Il Colosseo sembra essere a portata di mano.'],La vista dalla finestra del mio appartamento è semplicemente mozzafiato! Il Colosseo sembra essere a portata di mano.,residential
1966423,Paris,apartments,Boucherie,"['French', 'French', 'Japanese']","[""J'adore la vue sur les toits de Paris depuis mon appartement!"", ""La vie est belle lorsque l'on peut se promener le long de la Seine après une journée de travail("", 'パリの街中で静かな時間を過ごすことができます。これは私の隠れ家です']",J'adore la vue sur les toits de Paris depuis mon appartement! La vie est belle lorsque l'on peut se promener le long de la Seine après une journée de travail( パリの街中で静かな時間を過ごすことができます。これは私の隠れ家です,residential
