building_id,label,building_tag,building_name,city,language,tweet
31061,residential,dormitory,Kopano,CapeTown,English,"Midterm exams are looming and I'm stuck here hitting the books all day, send help...or coffee!"
31061,residential,dormitory,Kopano,CapeTown,English,"Roomies for life, we've survived another semester together at Kopano!"
31061,residential,dormitory,Kopano,CapeTown,English,Early morning study sessions on the rooftop have become my new normal
31061,residential,dormitory,Kopano,CapeTown,English,Nothing like a game night to unwind after a long week of classes.
31061,residential,dormitory,Kopano,CapeTown,English,"People say university is the best time of your life, so far so good."
31073,residential,dormitory,Baxter Hall,CapeTown,English,Cramming for exams is way more bearable when you have an amazing view like ours at BaxterHall!
31073,residential,dormitory,Baxter Hall,CapeTown,English,Dorm life can be crazy but our community here makes all the difference
31073,residential,dormitory,Baxter Hall,CapeTown,English,Battling to get work done before deadline hits - anyone else feeling the pressure? Hope caffeine kicks in soon
31073,residential,dormitory,Baxter Hall,CapeTown,English,Sharing laughs over breakfast on the rooftop has become daily highlight always something new 
31073,residential,dormitory,Baxter Hall,CapeTown,English,Wonderful place full great people making every day count
31079,residential,dormitory,Graça Machel Hall,CapeTown,English,Morning views from Graça Mached don't get much better than this!
31079,residential,dormitory,Graça Machel Hall,CapeTown,English,Cape Town sunsets are even more breathtaking when watched with friends from our dorm lounge
31079,residential,dormitory,Graça Machel Hall,CapeTown,English,Dorm life can be chaotic but having amazing people around makes all the difference 
31079,residential,dormitory,Graça Machel Hall,CapeTown,English,"The university campus is so peaceful at dawn, perfect time to catch up on some reading before classes"
31079,residential,dormitory,Graça Machel Hall,CapeTown,Polish,Wszystko jest piękne w południowej Afryce - nawet życie w akademiku ma swój urok!
57201,residential,apartments,Doubletree By Hilton Berlin Ku'Damm,Berlin,German,"Eine Woche im Doubletree und ich fühle mich wie zu Hause, dank des tollen Service!"
103615,commercial,office,Wacker Chemie Ag,Munich,German,Bei so einem Wetter wie heute freue ich mich besonders ueber die helle und freundliche Atmosphaere im Buerogebaeude!
103615,commercial,office,Wacker Chemie Ag,Munich,German,"Ich moechte nicht missen den Kaffee am Morgen hier, einfach perfekt zum Starten."
103615,commercial,office,Wacker Chemie Ag,Munich,German,In unserer Etage gibt es schoenste Plätze fürs Mittagsessen - mal schauen was das Wochenende bringt
103615,commercial,office,Wacker Chemie Ag,Munich,German,Trotz viel Arbeit ist immer noch Zeit fuer geselliges Zusammensein während der Pausen gefunden worden.
212341,residential,apartments,Spätkauf Troja,Berlin,English,Beautiful Berlin sunset views from our rooftop are the perfect way to unwind after work!
212341,residential,apartments,Spätkauf Troja,Berlin,English,"This apartment complex has everything I need - gym, parking, and an amazing community of neighbors#"
212341,residential,apartments,Spätkauf Troja,Berlin,English,"Tried out the new coffee shop down the street today and oh man, their cappuccinos do NOT disappoint "
212341,residential,apartments,Spätkauf Troja,Berlin,English,People often overlook the importance of having green spaces nearby; thankfully ours is just around the corner
212341,residential,apartments,Spätkauf Troja,Berlin,English,Lovely Wednesday evening vibes here at home catching up on some reading before calling it a night
349557,residential,house,Dalgetty Square,Sydney,English,Quiet mornings are made perfect with a cuppa on our backyard patio
349557,residential,house,Dalgetty Square,Sydney,English,The auction at Dalgetty Square was pure chaos today!
349557,residential,house,Dalgetty Square,Sydney,English,Sitting here watching the sunset over Sydney is something else 
349557,residential,house,Dalgetty Square,Sydney,Japanese,'(Kyō wa otoko tomodachi ga DLGetti Sukwea ni kimashita.)'
349557,residential,house,Dalgetty Square,Sydney,Japanese,(Watashi no kazoku mo kondoDL Geti sukueaa e ikimasu)
355599,commercial,office,Palazzo Telecom,Milan,English,"Headed to a meeting at Palazzo Telecom, hoping the coffee machine is working today "
355599,commercial,office,Palazzo Telecom,Milan,Italian,Il mio ufficio al Palazzo Telecom è il posto perfetto per lavorare e godermi la vista sulla città di Milano.
